"Posicion","Nombre_Columna"
0,"calcium.ion.binding"
1,"protein.kinase.activity"
2,"ATP.binding"
3,"nucleus"
4,"cytoplasm"
5,"protein.phosphorylation"
6,"extracellular.space"
7,"lipid.metabolic.process"
8,"lipid.transport"
9,"enzyme.activator.activity"
10,"chylomicron"
11,"positive.regulation.of.catalytic.activity"
12,"zinc.ion.binding"
13,"nucleotide.binding"
14,"nucleic.acid.binding"
15,"nucleoplasm"
16,"cytosol"
17,"negative.regulation.of.microtubule.depolymerization"
18,"microtubule.binding"
19,"neuron.projection.development"
20,"microtubule.polymerization"
21,"NAD..protein.poly.ADP.ribosyltransferase.activity"
22,"double.strand.break.repair"
23,"NA."
24,"structural.constituent.of.eye.lens"
25,"angiogenesis"
26,"vascular.endothelial.growth.factor.receptor.activity"
27,"axon.guidance"
28,"semaphorin.receptor.activity"
29,"vascular.endothelial.growth.factor.signaling.pathway"
30,"metal.ion.binding"
31,"semaphorin.plexin.signaling.pathway"
32,"RNA.binding"
33,"structural.constituent.of.ribosome"
34,"translation"
35,"small.ribosomal.subunit"
36,"rRNA.binding"
37,"tRNA.intron.endonuclease.activity"
38,"tRNA.intron.endonuclease.complex"
39,"tRNA.type.intron.splice.site.recognition.and.cleavage"
40,"lyase.activity"
41,"nucleolus"
42,"nuclear.membrane"
43,"GTP.binding"
44,"early.endosome"
45,"lipid.droplet"
46,"plasma.membrane"
47,"endocytosis"
48,"endosome.membrane"
49,"positive.regulation.of.cholesterol.storage"
50,"endocytic.vesicle"
51,"platelet.dense.tubular.network.membrane"
52,"endocytic.recycling"
53,"low.density.lipoprotein.particle.clearance"
54,"cholesterol.homeostasis"
55,"myelin.sheath"
56,"perinuclear.region.of.cytoplasm"
57,"positive.regulation.of.myoblast.fusion"
58,"cellular.response.to.nerve.growth.factor.stimulus"
59,"positive.regulation.of.endocytic.recycling"
60,"liver.development"
61,"bile.acid.transmembrane.transporter.activity"
62,"sodium.independent.organic.anion.transmembrane.transporter.activity"
63,"bile.acid.and.bile.salt.transport"
64,"apical.plasma.membrane"
65,"sodium.independent.icosanoid.transport"
66,"lysosome"
67,"vacuolar.lumen"
68,"lysosome.organization"
69,"visual.perception"
70,"neurogenesis"
71,"metabolic.process"
72,"hydrolase.activity"
73,"translation.elongation.factor.activity"
74,"translational.elongation"
75,"threonine.type.endopeptidase.activity"
76,"ubiquitin.dependent.protein.catabolic.process"
77,"proteasome.core.complex..alpha.subunit.complex"
78,"DNA.templated.transcription"
79,"regulation.of.DNA.templated.transcription"
80,"ribosome"
81,"mitochondrion"
82,"activation.of.cysteine.type.endopeptidase.activity.involved.in.apoptotic.process"
83,"transporter.activity"
84,"transmembrane.transport"
85,"immune.response"
86,"cell.morphogenesis"
87,"magnesium.ion.binding"
88,"phospholipid.translocation"
89,"microtubule.motor.activity"
90,"microtubule.based.movement"
91,"ATP.hydrolysis.activity"
92,"dynein.complex"
93,"sperm.principal.piece"
94,"vasculogenesis"
95,"in.utero.embryonic.development"
96,"cytoskeletal.motor.activity"
97,"centrosome"
98,"myosin.complex"
99,"Z.disc"
100,"filamentous.actin"
101,"aspartic.type.endopeptidase.activity"
102,"proteolysis"
103,"establishment.of.mitotic.spindle.orientation"
104,"regulation.of.gene.expression"
105,"cerebral.cortex.development"
106,"regulation.of.kinase.activity"
107,"regulation.of.centrosome.cycle"
108,"regulation.of.inflammatory.response"
109,"bone.development"
110,"regulation.of.chromosome.condensation"
111,"protein.localization.to.centrosome"
112,"neuronal.stem.cell.population.maintenance"
113,"regulation.of.nitric.oxide.synthase.activity"
114,"positive.regulation.of.cell.matrix.adhesion"
115,"regulation.of.heart.rate"
116,"dystroglycan.binding"
117,"actin.binding"
118,"structural.constituent.of.cytoskeleton"
119,"skeletal.muscle.tissue.development"
120,"establishment.of.blood.nerve.barrier"
121,"regulation.of.cardiac.muscle.contraction.by.regulation.of.the.release.of.sequestered.calcium.ion"
122,"regulation.of.skeletal.muscle.contraction.by.regulation.of.release.of.sequestered.calcium.ion"
123,"myotube.cell.development"
124,"dystrophin.associated.glycoprotein.complex"
125,"muscle.attachment"
126,"olfactory.nerve.structural.organization"
127,"cell.substrate.junction"
128,"negative.regulation.of.peptidyl.serine.phosphorylation"
129,"response.to.muscle.stretch"
130,"sarcolemma"
131,"neuron.projection.terminus"
132,"membrane.raft"
133,"synapse"
134,"muscle.cell.cellular.homeostasis"
135,"nitric.oxide.synthase.binding"
136,"nucleus.localization"
137,"regulation.of.ryanodine.sensitive.calcium.release.channel.activity"
138,"establishment.of.glial.blood.brain.barrier"
139,"negative.regulation.of.ERK1.and.ERK2.cascade"
140,"cardiac.muscle.cell.action.potential"
141,"regulation.of.voltage.gated.calcium.channel.activity"
142,"negative.regulation.of.peptidyl.cysteine.S.nitrosylation"
143,"positive.regulation.of.sodium.ion.transmembrane.transporter.activity"
144,"intracellular.membrane.bounded.organelle"
145,"protein.tyrosine.phosphatase.activity"
146,"membrane"
147,"thiolester.hydrolase.activity"
