"Gene","Alias"
"PDCD6","PDCD6;ALG-2;ALG2;PEF1B"
"CDK1","CDK1"
"SERPINB6","SERPINB6"
"APOC2","APOC2"
"TADA2L","TADA2L"
"RP11-35N6.1","RP11-35N6.1"
"DNAJC25-GNG10","DNAJC25-GNG10"
"PCGF2","PCGF2"
"CPEB1","CPEB1"
"HDGFRP3","HDGFRP3"
"PARP3","PARP3"
"NIF3L1BP1","NIF3L1BP1;fSAP24;hTREX30"
"CRYAB","CRYAB"
"NRP2","NRP2"
"HDLBP","HDLBP"
"RPS9","RPS9"
"TSEN34","TSEN34;LENG5;PCH2C;SEN34;SEN34L"
"TFPT","TFPT"
"EHD1","EHD1"
"SLCO2B1","SLCO2B1"
"CLN5","CLN5"
"CES2","CES2;ACAT;CE-1;CEH;HMSE;HMSE1;PCE-1;REH;SES1;TGH;hCE-1"
"ELOF1","ELOF1"
"CERS1","CERS1"
"PSMA2","PSMA2"
"TCEB3","TCEB3"
"RPL41","RPL41;L41;eL41"
"DIABLO","DIABLO"
"SLC22A18","SLC22A18"
"MICA","MICA"
"LST1","LST1;HBLRR;LST-1;OATP-C;OATP1B1;OATP2;OATPC;SLC21A6"
"ZNF187","ZNF187"
"PPT2","PPT2"
"MSH5","MSH5"
"ATP11C","ATP11C"
"DNAH8","DNAH8;ATPase;SPGF46;hdhc9"
"MYO18B","MYO18B"
"HM13","HM13"
"MCPH1","MCPH1"
"NOSIP","NOSIP"
"DMD","DMD;BMD;CMD3B;DXS142;DXS164;DXS206;DXS230;DXS239;DXS268;DXS269;DXS270;DXS272;MRX85"
"DAB1","DAB1"
"PTPRT","PTPRT"
"CSRP2BP","CSRP2BP"
"NDUFAF6","NDUFAF6"
"KCNG1","KCNG1;K13;KCNG;KV6.1;kH2"
"RAP1A","RAP1A"
"HHAT","HHAT"
"TRDC","TRDC"
"CEP152","CEP152;MCPH4;MCPH9;SCKL5"
"TUBB8","TUBB8"
"BOP1","BOP1"
"EPPK1","EPPK1"
"CCDC187","CCDC187"
"LOC100509620","LOC100509620"
"PECAM1","PECAM1"
"MRPS21","MRPS21"
"BAHCC1","BAHCC1"
"LIPG","LIPG"
"ANXA8L1","ANXA8L1;ANXA8;ANXA8L2;VAC-beta;bA145E20.2"
"KLF14","KLF14"
"PPIAL4E","PPIAL4E"
"RASSF5","RASSF5"
"RERE","RERE"
"PEX12","PEX12;PAF-3;PBD3A"
"TNPO2","TNPO2"
"PNLIPRP2","PNLIPRP2"
"USP36","USP36"
"PTPRC","PTPRC"
"CYP2F1","CYP2F1;C2F1;CYP2F;CYPIIF1"
"SPHK2","SPHK2"
"KLK2","KLK2"
"SYNM","SYNM"
"SRGAP2","SRGAP2;ARHGAP34;FNBP2;SRGAP2A;SRGAP3"
"GAS2L2","GAS2L2"
"CCL5","CCL5"
"AK9","AK9"
"LYZB","LYZB"
"A0A087WSV2","A0A087WSV2"
"AGAP4","AGAP4;AGAP-4;AGAP-8;AGAP8;CTGLF1;CTGLF5;MRIP2"
"HELT","HELT"
"HELLS","HELLS"
"PCDHA4","PCDHA4"
"TXNRD1","TXNRD1"
"MUSK","MUSK;CMS9;FADS;FADS1"
"CPB2","CPB2"
"ACTN3","ACTN3"
"DHRS4L2","DHRS4L2"
"PDE4D","PDE4D"
"PCDHGA4","PCDHGA4;PCDH-GAMMA-A4"
"APITD1-CORT","APITD1-CORT;APITD1;CENP-S;CENPS;FAAP16;MHF1"
"GPX4","GPX4;GPx-4;GSHPx-4;MCSP;PHGPx;SMDS;snGPx;snPHGPx"
"TRPM2","TRPM2"
"PTEN","PTEN"
"KRTAP10-9","KRTAP10-9"
"CECR2","CECR2"
"TP53","TP53;BCC7;BMFS5;LFS1;P53;TRP53"
"TULP1","TULP1"
"VAC14","VAC14"
"PGM3","PGM3"
"PIP4K2B","PIP4K2B"
"LIME1","LIME1;LIME;dJ583P15.4"
"SLC2A8","SLC2A8"
"HMOX2","HMOX2"
"TNNI1","TNNI1"
"DNAJA2","DNAJA2"
"MAGI1","MAGI1"
"DCP1A","DCP1A;HSA275986;Nbla00360;SMAD4IP1;SMIF"
"TTR","TTR"
"MCL1","MCL1"
"KCP","KCP"
"SPPL2B","SPPL2B"
"SLC7A8","SLC7A8;LAT2;LPI-PC1"
"PLCB1","PLCB1"
"GPC6","GPC6"
"SLC1A3","SLC1A3"
"ACOT2","ACOT2"
"ARIH1","ARIH1;ARI;HARI;HHARI;UBCH7BP"
"EIF2B4","EIF2B4"
"COL1A2","COL1A2"
"IL6R","IL6R;CD126;HIES5;IL-1Ra;IL-6R;IL-6R-1;IL-6RA;IL6Q;IL6QTL;IL6RA;IL6RQ;gp80"
"UCHL3","UCHL3"
"CSTL1","CSTL1"
"CYP39A1","CYP39A1"
"AKAP13","AKAP13"
"ITIH2","ITIH2;H2P;ITI-HC2;SHAP"
"EPHB6","EPHB6"
"NCAM1","NCAM1"
"SRCIN1","SRCIN1"
"PTPDC1","PTPDC1"
"CENPP","CENPP;CENP-P"
"CUL3","CUL3"
"SYN3","SYN3"
"TMEM265","TMEM265"
"KIZ","KIZ"
"COG3","COG3;CDG2BB;SEC34"
"NDUFS7","NDUFS7"
"ADAMTSL4","ADAMTSL4"
"CYP2A6","CYP2A6"
"FAM156A","FAM156A"
"UBR1","UBR1;JBS"
"PALM","PALM"
"ATP5D","ATP5D"
"GPR39","GPR39"
"ROBO1","ROBO1"
"CHD1L","CHD1L;ALC1;CHDL"
"APOB","APOB"
"FAS","FAS"
"SLC15A1","SLC15A1;HPECT1;HPEPT1;PEPT1"
"PCDH15","PCDH15"
"MDM4","MDM4"
"ALG13","ALG13"
"PYCRL","PYCRL"
"TMPRSS4","TMPRSS4"
"ALMS1","ALMS1;ALSS"
"PSME3","PSME3"
"POLR3G","POLR3G"
"UHRF1","UHRF1"
"CASP8AP2","CASP8AP2"
"SLC39A7","SLC39A7"
"TRIB3","TRIB3;C20orf97;NIPK;SINK;SKIP3;TRB3"
"DHRS3","DHRS3"
"GBA3","GBA3"
"ALG9","ALG9"
"TUBGCP3","TUBGCP3"
"MINOS1","MINOS1;C1orf151;MIO10;Mic10"
"CROCC","CROCC"
"PRDM1","PRDM1"
"ELF4","ELF4"
"ACSM2B","ACSM2B"
"RNPEP","RNPEP"
"CLCN3","CLCN3;CLC3;ClC-3;NEDHYBA;NEDSBA"
"CASP3","CASP3"
"GRIP2","GRIP2"
"CHD9","CHD9"
"ALDH3B1","ALDH3B1"
"DDC","DDC"
"TTLL11","TTLL11;C9orf148;C9orf20;TTLL11-IT1;bA244O19.1"
"POLA1","POLA1"
"VPS45","VPS45"
"CHST13","CHST13"
"OPRK1","OPRK1"
"AP2B1","AP2B1"
"FGA","FGA;AMYLD2;Fib2"
"OR56A5","OR56A5"
"SCNN1D","SCNN1D"
"SPCS2","SPCS2"
"FGF2","FGF2"
"PPP1R13L","PPP1R13L"
